日付,都道府県コード,搬送人員（計）,年齢区分：新生児,年齢区分：乳幼児,年齢区分：少年,年齢区分：成人,年齢区分：高齢者,年齢区分：不明,傷病程度：死亡,傷病程度：重症,傷病程度：中等症,傷病程度：軽症,傷病程度：その他
2009/7/2,47,4,0,0,0,2,2,0,0,1,1,2,0
2009/7/3,1,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/3,2,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/3,3,1,0,0,0,0,1,0,0,0,0,1,0
2009/7/3,4,1,0,0,0,1,0,0,0,0,1,0,0
2009/7/3,5,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/3,6,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/3,7,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/3,8,1,0,0,0,0,1,0,0,0,1,0,0
2009/7/3,9,1,0,0,0,1,0,0,0,0,1,0,0
2009/7/3,10,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/3,11,1,0,0,0,1,0,0,0,0,0,1,0
2009/7/3,12,1,0,0,1,0,0,0,0,0,0,1,0
2009/7/3,13,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/3,14,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/3,15,1,0,0,0,0,1,0,0,0,0,1,0
2009/7/3,16,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/3,17,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/3,18,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/3,19,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/3,20,1,0,1,0,0,0,0,0,0,0,1,0
2009/7/3,21,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/3,22,1,0,0,1,0,0,0,0,0,0,1,0
2009/7/3,23,5,0,0,1,1,3,0,0,0,3,2,0
2009/7/3,24,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/3,25,1,0,0,0,1,0,0,0,0,0,1,0
2009/7/3,26,1,0,0,0,0,1,0,0,0,0,1,0
2009/7/3,27,3,0,0,0,1,2,0,0,0,0,3,0
2009/7/3,28,1,0,0,0,0,1,0,0,0,0,1,0
2009/7/3,29,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/3,30,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/3,31,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/3,32,1,0,0,0,0,1,0,0,0,0,1,0
2009/7/3,33,1,0,1,0,0,0,0,0,0,0,1,0
2009/7/3,34,3,0,0,0,0,3,0,0,1,2,0,0
2009/7/3,35,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/3,36,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/3,37,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/3,38,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/3,39,1,0,0,0,0,1,0,0,0,1,0,0
2009/7/3,40,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/3,41,1,0,0,0,0,1,0,0,0,1,0,0
2009/7/3,42,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/3,43,2,0,0,0,2,0,0,0,0,0,2,0
2009/7/3,44,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/3,45,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/3,46,1,0,0,0,1,0,0,0,0,0,0,1
2009/7/3,47,2,0,0,1,1,0,0,0,0,0,2,0
2009/7/4,1,1,0,0,0,0,1,0,0,0,1,0,0
2009/7/4,2,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/4,3,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/4,4,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/4,5,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/4,6,1,0,0,0,0,1,0,0,0,1,0,0
2009/7/4,7,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/4,8,2,0,0,0,1,1,0,0,0,0,2,0
2009/7/4,9,1,0,0,1,0,0,0,0,0,1,0,0
2009/7/4,10,1,0,0,1,0,0,0,0,0,0,1,0
2009/7/4,11,4,0,0,1,2,1,0,0,1,1,2,0
2009/7/4,12,4,0,0,2,0,2,0,0,1,1,2,0
2009/7/4,13,2,0,0,0,0,2,0,0,1,0,1,0
2009/7/4,14,2,0,0,2,0,0,0,0,0,0,2,0
2009/7/4,15,1,0,0,0,1,0,0,0,0,0,1,0
2009/7/4,16,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/4,17,4,0,1,0,2,1,0,0,0,0,4,0
2009/7/4,18,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/4,19,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/4,20,5,0,0,1,2,2,0,0,0,1,4,0
2009/7/4,21,1,0,0,0,0,1,0,0,0,0,1,0
2009/7/4,22,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/4,23,1,0,0,0,0,1,0,0,0,0,1,0
2009/7/4,24,2,0,0,0,1,1,0,0,0,1,1,0
2009/7/4,25,2,0,0,0,0,2,0,0,0,0,2,0
2009/7/4,26,5,0,0,0,1,4,0,0,0,1,4,0
2009/7/4,27,3,0,0,1,2,0,0,0,0,0,3,0
2009/7/4,28,5,0,0,3,2,0,0,0,0,2,3,0
2009/7/4,29,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/4,30,3,0,0,0,3,0,0,0,0,1,2,0
2009/7/4,31,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/4,32,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/4,33,1,0,0,0,1,0,0,0,0,0,1,0
2009/7/4,34,2,0,0,1,1,0,0,0,0,1,1,0
2009/7/4,35,1,0,0,0,1,0,0,0,0,0,1,0
2009/7/4,36,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/4,37,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/4,38,2,0,0,0,0,2,0,0,0,1,1,0
2009/7/4,39,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/4,40,4,0,0,1,1,2,0,0,0,2,2,0
2009/7/4,41,1,0,0,0,0,1,0,0,1,0,0,0
2009/7/4,42,1,0,0,0,1,0,0,0,0,0,1,0
2009/7/4,43,1,0,0,1,0,0,0,0,0,0,1,0
2009/7/4,44,2,0,0,1,0,1,0,0,0,0,2,0
2009/7/4,45,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/4,46,2,0,0,0,0,2,0,0,0,1,1,0
2009/7/4,47,1,0,0,0,0,1,0,0,0,0,1,0
2009/7/5,1,5,0,0,1,4,0,0,0,0,1,4,0
2009/7/5,2,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/5,3,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/5,4,4,0,0,1,1,2,0,0,1,0,3,0
2009/7/5,5,2,0,0,2,0,0,0,0,0,0,2,0
2009/7/5,6,3,0,0,1,1,1,0,0,0,1,2,0
2009/7/5,7,2,0,0,0,0,2,0,0,0,1,1,0
2009/7/5,8,1,0,0,1,0,0,0,0,0,0,1,0
2009/7/5,9,4,0,0,0,4,0,0,0,0,0,4,0
2009/7/5,10,2,0,0,1,1,0,0,0,0,1,1,0
2009/7/5,11,7,0,0,3,3,1,0,0,0,2,5,0
2009/7/5,12,7,0,1,3,1,2,0,0,1,1,5,0
2009/7/5,13,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/5,14,2,0,0,1,1,0,0,0,0,2,0,0
2009/7/5,15,5,0,0,1,2,2,0,0,0,0,5,0
2009/7/5,16,1,0,0,0,1,0,0,0,0,0,1,0
2009/7/5,17,5,0,0,1,2,2,0,0,1,0,4,0
2009/7/5,18,2,0,0,0,2,0,0,0,0,0,2,0
2009/7/5,19,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/5,20,4,0,0,0,4,0,0,0,0,0,4,0
2009/7/5,21,5,0,0,3,0,2,0,0,0,4,1,0
2009/7/5,22,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/5,23,5,0,0,4,1,0,0,0,0,0,5,0
2009/7/5,24,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/5,25,2,0,0,0,0,2,0,0,0,1,1,0
2009/7/5,26,3,0,0,0,0,3,0,0,0,1,2,0
2009/7/5,27,6,0,0,1,4,1,0,0,0,2,4,0
2009/7/5,28,4,0,0,0,2,2,0,0,0,0,4,0
2009/7/5,29,1,0,0,0,0,1,0,0,0,1,0,0
2009/7/5,30,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/5,31,1,0,0,0,1,0,0,0,0,1,0,0
2009/7/5,32,1,0,0,0,0,1,0,0,0,1,0,0
2009/7/5,33,1,0,0,0,1,0,0,0,0,0,1,0
2009/7/5,34,3,0,0,1,2,0,0,0,0,1,2,0
2009/7/5,35,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/5,36,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/5,37,1,0,0,0,1,0,0,0,0,1,0,0
2009/7/5,38,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/5,39,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/5,40,4,0,0,0,1,3,0,0,0,2,2,0
2009/7/5,41,1,0,0,0,0,1,0,0,0,0,1,0
2009/7/5,42,1,0,0,0,1,0,0,0,0,1,0,0
2009/7/5,43,2,0,0,0,1,1,0,0,0,0,2,0
2009/7/5,44,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/5,45,1,0,0,0,1,0,0,0,0,0,1,0
2009/7/5,46,4,0,0,1,1,2,0,0,0,1,3,0
2009/7/5,47,3,0,0,0,3,0,0,0,0,0,3,0
2009/7/6,1,2,0,0,0,1,1,0,0,0,2,0,0
2009/7/6,2,1,0,0,0,0,1,0,0,0,0,1,0
2009/7/6,3,2,0,0,2,0,0,0,0,0,2,0,0
2009/7/6,4,1,0,0,0,1,0,0,0,0,0,1,0
2009/7/6,5,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/6,6,2,0,0,0,0,2,0,0,1,0,1,0
2009/7/6,7,2,0,0,1,0,1,0,0,0,1,1,0
2009/7/6,8,4,0,0,2,1,1,0,0,0,1,3,0
2009/7/6,9,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/6,10,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/6,11,1,0,0,1,0,0,0,0,0,0,1,0
2009/7/6,12,1,0,0,0,0,1,0,0,0,0,1,0
2009/7/6,13,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/6,14,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/6,15,3,0,0,1,0,2,0,0,0,2,1,0
2009/7/6,16,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/6,17,3,0,1,0,1,1,0,0,0,0,3,0
2009/7/6,18,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/6,19,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/6,20,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/6,21,1,0,0,0,1,0,0,0,0,0,1,0
2009/7/6,22,1,0,0,0,1,0,0,0,0,1,0,0
2009/7/6,23,10,0,0,0,6,4,0,0,1,7,2,0
2009/7/6,24,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/6,25,4,0,0,1,2,1,0,0,0,0,4,0
2009/7/6,26,3,0,0,0,3,0,0,0,0,0,3,0
2009/7/6,27,7,0,0,0,5,2,0,0,0,3,4,0
2009/7/6,28,6,0,1,1,3,1,0,0,0,1,5,0
2009/7/6,29,1,0,0,1,0,0,0,0,0,0,1,0
2009/7/6,30,2,0,0,0,1,1,0,0,0,1,1,0
2009/7/6,31,4,0,0,4,0,0,0,0,0,0,4,0
2009/7/6,32,4,0,0,0,2,2,0,0,2,1,1,0
2009/7/6,33,6,0,0,0,2,4,0,0,0,4,2,0
2009/7/6,34,2,0,0,0,2,0,0,0,0,2,0,0
2009/7/6,35,1,0,0,0,1,0,0,0,0,0,1,0
2009/7/6,36,1,0,0,0,0,1,0,0,0,1,0,0
2009/7/6,37,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/6,38,5,0,0,0,4,1,0,0,0,3,2,0
2009/7/6,39,1,0,0,1,0,0,0,0,0,0,1,0
2009/7/6,40,6,0,0,0,4,2,0,0,0,3,3,0
2009/7/6,41,1,0,0,0,0,1,0,0,0,0,1,0
2009/7/6,42,2,0,0,0,0,2,0,0,0,2,0,0
2009/7/6,43,3,0,0,0,1,2,0,0,0,3,0,0
2009/7/6,44,1,0,0,0,1,0,0,0,0,1,0,0
2009/7/6,45,3,0,0,0,3,0,0,0,0,1,2,0
2009/7/6,46,2,0,0,0,0,2,0,0,0,2,0,0
2009/7/6,47,1,0,0,0,1,0,0,0,0,0,1,0
2009/7/7,1,3,0,0,1,1,1,0,0,0,0,3,0
2009/7/7,2,1,0,0,0,0,1,0,0,0,1,0,0
2009/7/7,3,2,0,0,0,1,1,0,0,0,1,1,0
2009/7/7,4,4,0,0,0,0,4,0,0,0,2,2,0
2009/7/7,5,1,0,0,0,0,1,0,0,0,1,0,0
2009/7/7,6,2,0,0,0,0,2,0,0,0,1,1,0
2009/7/7,7,3,0,0,0,1,2,0,0,1,1,1,0
2009/7/7,8,10,0,0,0,4,6,0,0,0,5,5,0
2009/7/7,9,3,0,0,0,1,2,0,0,0,2,1,0
