日付,都道府県コード,搬送人員（計）,年齢区分：新生児,年齢区分：乳幼児,年齢区分：少年,年齢区分：成人,年齢区分：高齢者,年齢区分：不明,傷病程度：死亡,傷病程度：重症,傷病程度：中等症,傷病程度：軽症,傷病程度：その他
2010/6/1,1,0,0,0,0,0,0,0,0,0,0,0,0
2010/6/1,2,0,0,0,0,0,0,0,0,0,0,0,0
2010/6/1,3,0,0,0,0,0,0,0,0,0,0,0,0
2010/6/1,4,0,0,0,0,0,0,0,0,0,0,0,0
2010/6/1,5,0,0,0,0,0,0,0,0,0,0,0,0
2010/6/1,6,0,0,0,0,0,0,0,0,0,0,0,0
2010/6/1,7,3,0,0,0,1,2,0,0,0,1,2,0
2010/6/1,8,0,0,0,0,0,0,0,0,0,0,0,0
2010/6/1,9,0,0,0,0,0,0,0,0,0,0,0,0
2010/6/1,10,0,0,0,0,0,0,0,0,0,0,0,0
2010/6/1,11,1,0,1,0,0,0,0,0,0,0,1,0
2010/6/1,12,1,0,0,1,0,0,0,0,0,0,1,0
2010/6/1,13,0,0,0,0,0,0,0,0,0,0,0,0
2010/6/1,14,0,0,0,0,0,0,0,0,0,0,0,0
2010/6/1,15,0,0,0,0,0,0,0,0,0,0,0,0
2010/6/1,16,0,0,0,0,0,0,0,0,0,0,0,0
2010/6/1,17,0,0,0,0,0,0,0,0,0,0,0,0
2010/6/1,18,0,0,0,0,0,0,0,0,0,0,0,0
2010/6/1,19,1,0,0,0,0,1,0,0,1,0,0,0
2010/6/1,20,0,0,0,0,0,0,0,0,0,0,0,0
2010/6/1,21,0,0,0,0,0,0,0,0,0,0,0,0
2010/6/1,22,0,0,0,0,0,0,0,0,0,0,0,0
2010/6/1,23,4,0,1,0,1,2,0,0,0,1,3,0
2010/6/1,24,0,0,0,0,0,0,0,0,0,0,0,0
2010/6/1,26,0,0,0,0,0,0,0,0,0,0,0,0
2010/6/1,27,0,0,0,0,0,0,0,0,0,0,0,0
2010/6/1,28,1,0,0,0,0,1,0,0,0,1,0,0
2010/6/1,29,0,0,0,0,0,0,0,0,0,0,0,0
2010/6/1,32,0,0,0,0,0,0,0,0,0,0,0,0
2010/6/1,33,1,0,1,0,0,0,0,0,0,0,1,0
2010/6/1,34,2,0,1,1,0,0,0,0,0,1,1,0
2010/6/1,35,0,0,0,0,0,0,0,0,0,0,0,0
2010/6/1,36,0,0,0,0,0,0,0,0,0,0,0,0
2010/6/1,37,0,0,0,0,0,0,0,0,0,0,0,0
2010/6/1,38,0,0,0,0,0,0,0,0,0,0,0,0
2010/6/1,39,0,0,0,0,0,0,0,0,0,0,0,0
2010/6/1,40,0,0,0,0,0,0,0,0,0,0,0,0
2010/6/1,41,0,0,0,0,0,0,0,0,0,0,0,0
2010/6/1,42,0,0,0,0,0,0,0,0,0,0,0,0
2010/6/1,43,0,0,0,0,0,0,0,0,0,0,0,0
2010/6/1,44,0,0,0,0,0,0,0,0,0,0,0,0
2010/6/1,45,0,0,0,0,0,0,0,0,0,0,0,0
2010/6/1,46,0,0,0,0,0,0,0,0,0,0,0,0
2010/6/1,47,0,0,0,0,0,0,0,0,0,0,0,0
2010/6/2,1,0,0,0,0,0,0,0,0,0,0,0,0
2010/6/2,2,0,0,0,0,0,0,0,0,0,0,0,0
2010/6/2,3,0,0,0,0,0,0,0,0,0,0,0,0
2010/6/2,4,0,0,0,0,0,0,0,0,0,0,0,0
2010/6/2,5,1,0,0,0,0,1,0,0,0,0,0,1
2010/6/2,6,1,0,0,0,0,1,0,0,0,0,0,1
2010/6/2,7,1,0,0,0,0,1,0,0,0,0,1,0
2010/6/2,8,0,0,0,0,0,0,0,0,0,0,0,0
2010/6/2,9,0,0,0,0,0,0,0,0,0,0,0,0
2010/6/2,10,0,0,0,0,0,0,0,0,0,0,0,0
2010/6/2,11,2,0,0,1,0,1,0,0,0,2,0,0
2010/6/2,12,1,0,1,0,0,0,0,0,0,1,0,0
2010/6/2,13,1,0,0,0,1,0,0,0,0,0,1,0
2010/6/2,14,0,0,0,0,0,0,0,0,0,0,0,0
2010/6/2,15,1,0,0,0,0,1,0,0,0,0,1,0
2010/6/2,16,0,0,0,0,0,0,0,0,0,0,0,0
2010/6/2,17,0,0,0,0,0,0,0,0,0,0,0,0
2010/6/2,18,0,0,0,0,0,0,0,0,0,0,0,0
2010/6/2,20,0,0,0,0,0,0,0,0,0,0,0,0
2010/6/2,21,0,0,0,0,0,0,0,0,0,0,0,0
2010/6/2,22,1,0,0,0,0,1,0,0,0,0,1,0
2010/6/2,23,5,0,0,0,1,4,0,0,0,3,2,0
2010/6/2,24,2,0,0,1,1,0,0,0,0,0,2,0
2010/6/2,26,0,0,0,0,0,0,0,0,0,0,0,0
2010/6/2,27,2,0,0,1,0,1,0,0,0,0,2,0
2010/6/2,28,0,0,0,0,0,0,0,0,0,0,0,0
2010/6/2,29,1,0,0,0,0,1,0,0,0,1,0,0
2010/6/2,30,1,0,0,0,0,1,0,0,0,1,0,0
2010/6/2,32,0,0,0,0,0,0,0,0,0,0,0,0
2010/6/2,33,1,0,0,0,1,0,0,0,0,0,1,0
2010/6/2,34,1,0,0,0,0,1,0,0,0,1,0,0
2010/6/2,35,0,0,0,0,0,0,0,0,0,0,0,0
2010/6/2,36,1,0,1,0,0,0,0,0,0,0,1,0
2010/6/2,37,1,0,0,0,0,1,0,0,0,0,1,0
2010/6/2,38,0,0,0,0,0,0,0,0,0,0,0,0
2010/6/2,39,0,0,0,0,0,0,0,0,0,0,0,0
2010/6/2,40,5,0,0,1,3,1,0,0,0,0,5,0
2010/6/2,41,0,0,0,0,0,0,0,0,0,0,0,0
2010/6/2,42,1,0,0,0,1,0,0,0,0,0,1,0
2010/6/2,43,0,0,0,0,0,0,0,0,0,0,0,0
2010/6/2,44,0,0,0,0,0,0,0,0,0,0,0,0
2010/6/2,45,0,0,0,0,0,0,0,0,0,0,0,0
2010/6/2,46,0,0,0,0,0,0,0,0,0,0,0,0
2010/6/2,47,0,0,0,0,0,0,0,0,0,0,0,0
2010/6/3,1,0,0,0,0,0,0,0,0,0,0,0,0
2010/6/3,2,0,0,0,0,0,0,0,0,0,0,0,0
2010/6/3,3,0,0,0,0,0,0,0,0,0,0,0,0
2010/6/3,4,1,0,0,0,1,0,0,0,0,1,0,0
2010/6/3,5,0,0,0,0,0,0,0,0,0,0,0,0
2010/6/3,6,0,0,0,0,0,0,0,0,0,0,0,0
2010/6/3,7,4,0,0,0,2,2,0,0,0,2,2,0
2010/6/3,8,0,0,0,0,0,0,0,0,0,0,0,0
2010/6/3,9,1,0,0,0,0,1,0,0,0,0,1,0
2010/6/3,10,0,0,0,0,0,0,0,0,0,0,0,0
2010/6/3,11,3,0,0,0,2,1,0,0,0,1,2,0
2010/6/3,12,4,0,0,2,1,1,0,0,0,2,2,0
2010/6/3,13,1,0,0,0,1,0,0,0,0,1,0,0
2010/6/3,14,0,0,0,0,0,0,0,0,0,0,0,0
2010/6/3,15,1,0,0,1,0,0,0,0,0,0,1,0
2010/6/3,16,0,0,0,0,0,0,0,0,0,0,0,0
2010/6/3,17,0,0,0,0,0,0,0,0,0,0,0,0
2010/6/3,18,1,0,0,0,0,1,0,0,0,1,0,0
2010/6/3,20,0,0,0,0,0,0,0,0,0,0,0,0
2010/6/3,21,0,0,0,0,0,0,0,0,0,0,0,0
2010/6/3,22,0,0,0,0,0,0,0,0,0,0,0,0
2010/6/3,23,10,0,0,2,3,5,0,0,0,3,6,1
2010/6/3,24,0,0,0,0,0,0,0,0,0,0,0,0
2010/6/3,25,2,0,0,0,1,1,0,0,0,1,1,0
2010/6/3,26,1,0,0,0,0,1,0,0,0,0,1,0
2010/6/3,27,2,0,0,0,2,0,0,0,0,0,2,0
2010/6/3,28,3,0,0,0,2,1,0,0,0,2,1,0
2010/6/3,29,0,0,0,0,0,0,0,0,0,0,0,0
2010/6/3,30,0,0,0,0,0,0,0,0,0,0,0,0
2010/6/3,32,1,0,0,1,0,0,0,0,0,0,1,0
2010/6/3,33,1,0,0,0,0,1,0,0,0,0,1,0
2010/6/3,34,3,0,0,0,0,3,0,0,1,2,0,0
2010/6/3,35,2,0,0,0,1,1,0,0,0,1,1,0
2010/6/3,36,0,0,0,0,0,0,0,0,0,0,0,0
2010/6/3,37,0,0,0,0,0,0,0,0,0,0,0,0
2010/6/3,38,0,0,0,0,0,0,0,0,0,0,0,0
2010/6/3,39,0,0,0,0,0,0,0,0,0,0,0,0
2010/6/3,40,0,0,0,0,0,0,0,0,0,0,0,0
2010/6/3,41,1,0,0,0,0,1,0,0,0,0,1,0
2010/6/3,42,1,0,1,0,0,0,0,0,1,0,0,0
2010/6/3,43,1,0,0,0,1,0,0,0,0,0,1,0
2010/6/3,44,1,0,0,0,0,1,0,0,0,0,1,0
2010/6/3,45,0,0,0,0,0,0,0,0,0,0,0,0
2010/6/3,46,1,0,0,0,1,0,0,0,0,0,1,0
2010/6/3,47,0,0,0,0,0,0,0,0,0,0,0,0
2010/6/4,1,0,0,0,0,0,0,0,0,0,0,0,0
2010/6/4,2,0,0,0,0,0,0,0,0,0,0,0,0
2010/6/4,3,0,0,0,0,0,0,0,0,0,0,0,0
2010/6/4,4,0,0,0,0,0,0,0,0,0,0,0,0
2010/6/4,5,0,0,0,0,0,0,0,0,0,0,0,0
2010/6/4,6,0,0,0,0,0,0,0,0,0,0,0,0
2010/6/4,7,2,0,0,0,1,1,0,0,0,1,1,0
2010/6/4,8,0,0,0,0,0,0,0,0,0,0,0,0
2010/6/4,9,1,0,0,0,0,1,0,0,0,1,0,0
2010/6/4,10,1,0,0,0,0,1,0,0,0,1,0,0
2010/6/4,11,2,0,0,0,1,1,0,0,0,1,1,0
2010/6/4,12,2,0,0,1,0,1,0,0,0,1,1,0
2010/6/4,13,3,0,1,0,2,0,0,0,1,0,2,0
2010/6/4,14,0,0,0,0,0,0,0,0,0,0,0,0
2010/6/4,15,1,0,0,0,0,1,0,0,0,0,1,0
2010/6/4,16,0,0,0,0,0,0,0,0,0,0,0,0
2010/6/4,17,1,0,0,0,1,0,0,0,0,0,1,0
2010/6/4,18,0,0,0,0,0,0,0,0,0,0,0,0
2010/6/4,20,1,0,0,0,1,0,0,0,0,0,1,0
2010/6/4,21,0,0,0,0,0,0,0,0,0,0,0,0
2010/6/4,22,1,0,0,0,1,0,0,0,0,1,0,0
2010/6/4,23,7,0,2,0,1,4,0,0,0,2,5,0
2010/6/4,24,1,0,0,0,1,0,0,0,0,0,1,0
2010/6/4,25,1,0,0,1,0,0,0,0,0,0,1,0
2010/6/4,26,0,0,0,0,0,0,0,0,0,0,0,0
2010/6/4,27,2,0,0,2,0,0,0,0,0,1,1,0
2010/6/4,28,1,0,0,0,1,0,0,0,0,0,1,0
2010/6/4,29,0,0,0,0,0,0,0,0,0,0,0,0
2010/6/4,30,0,0,0,0,0,0,0,0,0,0,0,0
2010/6/4,31,1,0,0,0,1,0,0,0,1,0,0,0
2010/6/4,32,0,0,0,0,0,0,0,0,0,0,0,0
2010/6/4,33,2,0,0,1,0,1,0,0,0,1,0,1
2010/6/4,34,0,0,0,0,0,0,0,0,0,0,0,0
2010/6/4,35,1,0,0,0,0,1,0,0,0,0,0,1
2010/6/4,36,0,0,0,0,0,0,0,0,0,0,0,0
2010/6/4,37,0,0,0,0,0,0,0,0,0,0,0,0
2010/6/4,38,0,0,0,0,0,0,0,0,0,0,0,0
2010/6/4,39,0,0,0,0,0,0,0,0,0,0,0,0
2010/6/4,40,0,0,0,0,0,0,0,0,0,0,0,0
2010/6/4,41,0,0,0,0,0,0,0,0,0,0,0,0
2010/6/4,42,0,0,0,0,0,0,0,0,0,0,0,0
2010/6/4,43,0,0,0,0,0,0,0,0,0,0,0,0
2010/6/4,44,1,0,0,0,0,1,0,0,0,0,1,0
2010/6/4,45,0,0,0,0,0,0,0,0,0,0,0,0
2010/6/4,46,1,0,0,0,1,0,0,0,0,0,1,0
2010/6/4,47,0,0,0,0,0,0,0,0,0,0,0,0
2010/6/5,1,0,0,0,0,0,0,0,0,0,0,0,0
2010/6/5,2,0,0,0,0,0,0,0,0,0,0,0,0
2010/6/5,3,1,0,0,0,0,1,0,0,0,0,1,0
2010/6/5,4,0,0,0,0,0,0,0,0,0,0,0,0
2010/6/5,5,1,0,0,1,0,0,0,0,0,0,1,0
2010/6/5,6,0,0,0,0,0,0,0,0,0,0,0,0
2010/6/5,7,3,0,0,2,1,0,0,0,0,0,3,0
2010/6/5,8,0,0,0,0,0,0,0,0,0,0,0,0
2010/6/5,9,0,0,0,0,0,0,0,0,0,0,0,0
2010/6/5,10,0,0,0,0,0,0,0,0,0,0,0,0
