日付,都道府県コード,搬送人員（計）,年齢区分：新生児,年齢区分：乳幼児,年齢区分：少年,年齢区分：成人,年齢区分：高齢者,年齢区分：不明,傷病程度：死亡,傷病程度：重症,傷病程度：中等症,傷病程度：軽症,傷病程度：その他
2013/6/1,1,9,0,0,1,5,3,0,0,0,1,8,0
2013/6/1,3,1,0,0,0,0,1,0,0,0,1,0,0
2013/6/1,4,3,0,0,3,0,0,0,0,0,0,3,0
2013/6/1,5,3,0,0,0,0,3,0,0,0,1,2,0
2013/6/1,6,0,0,0,0,0,0,0,0,0,0,0,0
2013/6/1,7,4,0,0,0,1,3,0,0,0,2,2,0
2013/6/1,8,2,0,0,0,1,1,0,0,0,0,2,0
2013/6/1,9,0,0,0,0,0,0,0,0,0,0,0,0
2013/6/1,10,3,0,0,1,1,1,0,0,0,0,3,0
2013/6/1,11,6,0,1,2,2,1,0,0,0,2,4,0
2013/6/1,12,2,0,0,0,1,1,0,0,0,0,2,0
2013/6/1,13,3,0,0,2,1,0,0,0,0,2,1,0
2013/6/1,14,6,0,0,1,0,5,0,0,0,3,3,0
2013/6/1,15,2,0,0,2,0,0,0,0,0,0,2,0
2013/6/1,17,0,0,0,0,0,0,0,0,0,0,0,0
2013/6/1,18,0,0,0,0,0,0,0,0,0,0,0,0
2013/6/1,19,0,0,0,0,0,0,0,0,0,0,0,0
2013/6/1,20,3,0,0,1,1,1,0,0,0,1,2,0
2013/6/1,21,0,0,0,0,0,0,0,0,0,0,0,0
2013/6/1,22,1,0,0,0,0,1,0,0,0,0,1,0
2013/6/1,23,6,0,0,3,3,0,0,0,0,0,6,0
2013/6/1,24,0,0,0,0,0,0,0,0,0,0,0,0
2013/6/1,26,2,0,0,0,0,2,0,0,0,1,1,0
2013/6/1,27,0,0,0,0,0,0,0,0,0,0,0,0
2013/6/1,28,1,0,0,0,0,1,0,0,0,1,0,0
2013/6/1,29,1,0,0,0,0,1,0,0,0,1,0,0
2013/6/1,30,0,0,0,0,0,0,0,0,0,0,0,0
2013/6/1,31,1,0,0,0,0,1,0,0,0,1,0,0
2013/6/1,32,1,0,0,0,1,0,0,0,0,1,0,0
2013/6/1,33,2,0,0,1,1,0,0,0,0,2,0,0
2013/6/1,34,0,0,0,0,0,0,0,0,0,0,0,0
2013/6/1,35,0,0,0,0,0,0,0,0,0,0,0,0
2013/6/1,36,0,0,0,0,0,0,0,0,0,0,0,0
2013/6/1,37,0,0,0,0,0,0,0,0,0,0,0,0
2013/6/1,40,0,0,0,0,0,0,0,0,0,0,0,0
2013/6/1,41,0,0,0,0,0,0,0,0,0,0,0,0
2013/6/1,43,1,0,0,0,1,0,0,0,0,0,1,0
2013/6/1,45,1,0,0,0,0,1,0,0,0,1,0,0
