日付,都道府県コード,搬送人員（計）,年齢区分：新生児,年齢区分：乳幼児,年齢区分：少年,年齢区分：成人,年齢区分：高齢者,年齢区分：不明,傷病程度：死亡,傷病程度：重症,傷病程度：中等症,傷病程度：軽症,傷病程度：その他,発生場所：住居,発生場所：仕事場①,発生場所：仕事場②,発生場所：教育機関,発生場所：公衆(屋内),発生場所：公衆(屋外),発生場所：道路,発生場所：その他
2017/5/1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
2017/5/1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/5/1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/5/1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/5/1,5,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
2017/5/1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/5/1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/5/1,8,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2017/5/1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/5/1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/5/1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/5/1,12,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
2017/5/1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/5/1,14,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
2017/5/1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/5/1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/5/1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/5/1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/5/1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/5/1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/5/1,21,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2017/5/1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/5/1,23,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
2017/5/1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/5/1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
