日付,都道府県コード,搬送人員（計）,年齢区分：新生児,年齢区分：乳幼児,年齢区分：少年,年齢区分：成人,年齢区分：高齢者,年齢区分：不明,傷病程度：死亡,傷病程度：重症,傷病程度：中等症,傷病程度：軽症,傷病程度：その他
2015/5/1,1,0,0,0,0,0,0,0,0,0,0,0,0
2015/5/1,2,0,0,0,0,0,0,0,0,0,0,0,0
2015/5/1,3,1,0,0,0,0,1,0,0,0,1,0,0
2015/5/1,4,4,0,0,0,2,2,0,0,0,3,1,0
2015/5/1,5,1,0,0,1,0,0,0,0,0,0,1,0
2015/5/1,6,1,0,0,0,1,0,0,0,0,0,1,0
2015/5/1,7,3,0,0,1,0,2,0,0,0,0,3,0
2015/5/1,8,4,0,0,1,1,2,0,0,0,2,2,0
2015/5/1,9,1,0,0,1,0,0,0,0,0,1,0,0
2015/5/1,10,1,0,0,0,1,0,0,0,0,0,1,0
2015/5/1,11,4,0,0,0,1,3,0,0,0,2,2,0
2015/5/1,12,8,0,0,1,3,4,0,0,0,4,4,0
2015/5/1,13,2,0,0,0,1,1,0,0,0,0,2,0
2015/5/1,14,4,0,0,0,1,3,0,0,1,1,2,0
2015/5/1,15,1,0,0,0,1,0,0,0,0,1,0,0
2015/5/1,16,1,0,0,0,0,1,0,0,0,1,0,0
2015/5/1,17,0,0,0,0,0,0,0,0,0,0,0,0
2015/5/1,18,0,0,0,0,0,0,0,0,0,0,0,0
2015/5/1,19,0,0,0,0,0,0,0,0,0,0,0,0
2015/5/1,20,3,0,1,1,0,1,0,0,0,1,2,0
2015/5/1,21,0,0,0,0,0,0,0,0,0,0,0,0
2015/5/1,22,1,0,0,0,0,1,0,0,0,0,1,0
2015/5/1,23,4,0,0,0,2,2,0,0,0,2,2,0
2015/5/1,24,2,0,0,0,0,2,0,0,0,1,1,0
2015/5/1,25,2,0,0,1,0,1,0,0,0,1,1,0
2015/5/1,26,3,0,0,0,1,2,0,0,0,1,2,0
2015/5/1,27,2,0,0,0,1,1,0,0,0,0,2,0
2015/5/1,28,4,0,0,1,1,2,0,0,1,0,3,0
2015/5/1,29,5,0,1,1,0,3,0,0,0,2,3,0
2015/5/1,30,2,0,0,1,0,1,0,0,0,0,2,0
2015/5/1,31,0,0,0,0,0,0,0,0,0,0,0,0
2015/5/1,32,1,0,0,0,0,1,0,0,0,1,0,0
2015/5/1,33,1,0,0,1,0,0,0,0,0,0,1,0
2015/5/1,34,3,0,0,0,1,2,0,0,0,1,2,0
2015/5/1,35,0,0,0,0,0,0,0,0,0,0,0,0
2015/5/1,36,3,0,0,0,2,1,0,0,0,1,2,0
2015/5/1,37,0,0,0,0,0,0,0,0,0,0,0,0
2015/5/1,38,0,0,0,0,0,0,0,0,0,0,0,0
2015/5/1,39,0,0,0,0,0,0,0,0,0,0,0,0
2015/5/1,40,1,0,0,0,1,0,0,0,0,1,0,0
2015/5/1,41,3,0,0,0,2,1,0,0,0,1,2,0
2015/5/1,42,0,0,0,0,0,0,0,0,0,0,0,0
2015/5/1,43,2,0,0,0,1,1,0,0,0,1,1,0
2015/5/1,44,0,0,0,0,0,0,0,0,0,0,0,0
2015/5/1,45,1,0,0,0,0,1,0,0,0,0,1,0
2015/5/1,46,1,0,0,0,0,1,0,0,0,1,0,0
2015/5/1,47,2,0,0,1,1,0,0,0,0,1,1,0
2015/5/2,1,0,0,0,0,0,0,0,0,0,0,0,0
2015/5/2,2,0,0,0,0,0,0,0,0,0,0,0,0
2015/5/2,3,1,0,0,0,1,0,0,0,0,0,1,0
