日付,都道府県コード,搬送人員（計）,年齢区分：新生児,年齢区分：乳幼児,年齢区分：少年,年齢区分：成人,年齢区分：高齢者,年齢区分：不明,傷病程度：死亡,傷病程度：重症,傷病程度：中等症,傷病程度：軽症,傷病程度：その他
2012/6/1,1,1,0,0,0,1,0,0,0,0,1,0,0
2012/6/1,2,0,0,0,0,0,0,0,0,0,0,0,0
2012/6/1,3,1,0,0,0,0,1,0,0,1,0,0,0
2012/6/1,4,1,0,0,0,1,0,0,0,0,0,1,0
2012/6/1,6,1,0,0,0,1,0,0,0,0,0,1,0
2012/6/1,7,0,0,0,0,0,0,0,0,0,0,0,0
2012/6/1,8,0,0,0,0,0,0,0,0,0,0,0,0
2012/6/1,9,0,0,0,0,0,0,0,0,0,0,0,0
2012/6/1,11,0,0,0,0,0,0,0,0,0,0,0,0
2012/6/1,12,1,0,0,0,1,0,0,0,0,0,1,0
2012/6/1,13,4,0,0,0,3,1,0,0,0,0,4,0
2012/6/1,14,2,0,0,2,0,0,0,0,0,0,2,0
2012/6/1,16,0,0,0,0,0,0,0,0,0,0,0,0
2012/6/1,17,0,0,0,0,0,0,0,0,0,0,0,0
2012/6/1,18,0,0,0,0,0,0,0,0,0,0,0,0
2012/6/1,20,0,0,0,0,0,0,0,0,0,0,0,0
2012/6/1,21,2,0,0,1,1,0,0,0,0,1,1,0
2012/6/1,22,1,0,0,0,1,0,0,0,0,0,1,0
2012/6/1,23,5,0,0,0,4,1,0,0,0,1,4,0
2012/6/1,24,0,0,0,0,0,0,0,0,0,0,0,0
2012/6/1,25,1,0,0,0,1,0,0,0,0,0,1,0
2012/6/1,26,5,0,0,0,1,4,0,0,0,1,4,0
2012/6/1,27,6,0,0,1,3,2,0,0,0,2,4,0
2012/6/1,28,6,0,0,1,2,3,0,0,0,1,5,0
2012/6/1,29,0,0,0,0,0,0,0,0,0,0,0,0
2012/6/1,30,2,0,0,0,1,1,0,0,0,0,2,0
2012/6/1,31,0,0,0,0,0,0,0,0,0,0,0,0
2012/6/1,32,0,0,0,0,0,0,0,0,0,0,0,0
2012/6/1,33,3,0,0,0,1,2,0,0,0,1,2,0
2012/6/1,34,2,0,0,0,1,1,0,0,0,1,1,0
2012/6/1,35,0,0,0,0,0,0,0,0,0,0,0,0
2012/6/1,36,1,0,0,0,1,0,0,0,0,0,1,0
2012/6/1,37,0,0,0,0,0,0,0,0,0,0,0,0
2012/6/1,38,1,0,0,0,1,0,0,0,0,0,1,0
2012/6/1,39,2,0,0,0,1,1,0,0,0,2,0,0
2012/6/1,40,2,0,0,1,1,0,0,0,0,1,1,0
2012/6/1,41,4,0,0,1,2,1,0,0,0,1,3,0
2012/6/1,42,0,0,0,0,0,0,0,0,0,0,0,0
2012/6/1,43,0,0,0,0,0,0,0,0,0,0,0,0
2012/6/1,44,2,0,0,0,0,2,0,0,0,1,1,0
2012/6/1,45,0,0,0,0,0,0,0,0,0,0,0,0
2012/6/1,46,0,0,0,0,0,0,0,0,0,0,0,0
2012/6/1,47,0,0,0,0,0,0,0,0,0,0,0,0
2012/6/2,1,1,0,0,0,0,1,0,0,0,0,1,0
2012/6/2,2,1,0,0,0,0,1,0,0,0,0,1,0
2012/6/2,3,3,0,0,2,0,1,0,0,0,0,3,0
2012/6/2,4,1,0,0,1,0,0,0,0,0,1,0,0
2012/6/2,5,1,0,0,0,0,1,0,0,0,1,0,0
2012/6/2,6,0,0,0,0,0,0,0,0,0,0,0,0
2012/6/2,7,5,0,0,4,0,1,0,0,0,1,4,0
2012/6/2,8,2,0,0,2,0,0,0,0,0,0,2,0
2012/6/2,9,3,0,0,2,1,0,0,0,0,0,3,0
2012/6/2,10,1,0,0,0,0,1,0,0,0,0,1,0
2012/6/2,11,3,0,0,1,1,1,0,0,0,0,3,0
2012/6/2,12,0,0,0,0,0,0,0,0,0,0,0,0
2012/6/2,13,1,0,0,0,1,0,0,0,0,1,0,0
2012/6/2,14,2,0,0,1,1,0,0,0,0,0,2,0
2012/6/2,15,1,0,0,0,0,1,0,0,0,0,1,0
2012/6/2,16,0,0,0,0,0,0,0,0,0,0,0,0
