日付,都道府県コード,搬送人員（計）,年齢区分：新生児,年齢区分：乳幼児,年齢区分：少年,年齢区分：成人,年齢区分：高齢者,年齢区分：不明,傷病程度：死亡,傷病程度：重症,傷病程度：中等症,傷病程度：軽症,傷病程度：その他
2011/6/1,1,0,0,0,0,0,0,0,0,0,0,0,0
2011/6/1,2,0,0,0,0,0,0,0,0,0,0,0,0
2011/6/1,3,0,0,0,0,0,0,0,0,0,0,0,0
2011/6/1,4,0,0,0,0,0,0,0,0,0,0,0,0
2011/6/1,5,0,0,0,0,0,0,0,0,0,0,0,0
2011/6/1,7,0,0,0,0,0,0,0,0,0,0,0,0
2011/6/1,8,0,0,0,0,0,0,0,0,0,0,0,0
2011/6/1,9,0,0,0,0,0,0,0,0,0,0,0,0
2011/6/1,10,0,0,0,0,0,0,0,0,0,0,0,0
2011/6/1,11,0,0,0,0,0,0,0,0,0,0,0,0
2011/6/1,12,0,0,0,0,0,0,0,0,0,0,0,0
2011/6/1,14,0,0,0,0,0,0,0,0,0,0,0,0
2011/6/1,16,0,0,0,0,0,0,0,0,0,0,0,0
2011/6/1,17,0,0,0,0,0,0,0,0,0,0,0,0
2011/6/1,18,0,0,0,0,0,0,0,0,0,0,0,0
2011/6/1,20,0,0,0,0,0,0,0,0,0,0,0,0
2011/6/1,21,0,0,0,0,0,0,0,0,0,0,0,0
2011/6/1,22,0,0,0,0,0,0,0,0,0,0,0,0
2011/6/1,23,1,0,0,0,0,1,0,0,0,1,0,0
2011/6/1,24,0,0,0,0,0,0,0,0,0,0,0,0
2011/6/1,25,1,0,0,0,1,0,0,0,0,1,0,0
2011/6/1,27,0,0,0,0,0,0,0,0,0,0,0,0
2011/6/1,28,2,0,0,1,0,1,0,0,0,0,2,0
2011/6/1,29,0,0,0,0,0,0,0,0,0,0,0,0
2011/6/1,30,0,0,0,0,0,0,0,0,0,0,0,0
2011/6/1,32,0,0,0,0,0,0,0,0,0,0,0,0
2011/6/1,33,1,0,0,0,1,0,0,0,0,0,1,0
2011/6/1,34,0,0,0,0,0,0,0,0,0,0,0,0
2011/6/1,35,0,0,0,0,0,0,0,0,0,0,0,0
2011/6/1,36,0,0,0,0,0,0,0,0,0,0,0,0
2011/6/1,37,0,0,0,0,0,0,0,0,0,0,0,0
2011/6/1,38,1,0,0,0,0,1,0,0,0,0,1,0
2011/6/1,39,0,0,0,0,0,0,0,0,0,0,0,0
2011/6/1,40,0,0,0,0,0,0,0,0,0,0,0,0
2011/6/1,41,0,0,0,0,0,0,0,0,0,0,0,0
2011/6/1,42,0,0,0,0,0,0,0,0,0,0,0,0
2011/6/1,43,1,0,0,1,0,0,0,0,0,0,1,0
2011/6/1,44,1,0,0,0,0,1,0,0,0,0,0,1
2011/6/1,46,1,0,0,0,1,0,0,0,0,1,0,0
2011/6/1,47,0,0,0,0,0,0,0,0,0,0,0,0
2011/6/2,1,0,0,0,0,0,0,0,0,0,0,0,0
2011/6/2,2,0,0,0,0,0,0,0,0,0,0,0,0
2011/6/2,3,0,0,0,0,0,0,0,0,0,0,0,0
2011/6/2,4,0,0,0,0,0,0,0,0,0,0,0,0
2011/6/2,5,0,0,0,0,0,0,0,0,0,0,0,0
2011/6/2,7,0,0,0,0,0,0,0,0,0,0,0,0
2011/6/2,8,0,0,0,0,0,0,0,0,0,0,0,0
2011/6/2,9,0,0,0,0,0,0,0,0,0,0,0,0
2011/6/2,10,0,0,0,0,0,0,0,0,0,0,0,0
2011/6/2,11,0,0,0,0,0,0,0,0,0,0,0,0
2011/6/2,12,0,0,0,0,0,0,0,0,0,0,0,0
2011/6/2,14,0,0,0,0,0,0,0,0,0,0,0,0
2011/6/2,16,0,0,0,0,0,0,0,0,0,0,0,0
2011/6/2,17,0,0,0,0,0,0,0,0,0,0,0,0
2011/6/2,18,0,0,0,0,0,0,0,0,0,0,0,0
2011/6/2,20,0,0,0,0,0,0,0,0,0,0,0,0
2011/6/2,21,0,0,0,0,0,0,0,0,0,0,0,0
2011/6/2,22,0,0,0,0,0,0,0,0,0,0,0,0
2011/6/2,23,0,0,0,0,0,0,0,0,0,0,0,0
2011/6/2,24,0,0,0,0,0,0,0,0,0,0,0,0
2011/6/2,27,0,0,0,0,0,0,0,0,0,0,0,0
2011/6/2,28,1,0,0,0,1,0,0,0,0,0,1,0
2011/6/2,29,0,0,0,0,0,0,0,0,0,0,0,0
2011/6/2,30,0,0,0,0,0,0,0,0,0,0,0,0
2011/6/2,32,1,0,0,0,0,1,0,0,0,1,0,0
2011/6/2,33,2,0,0,0,1,1,0,0,0,0,2,0
2011/6/2,34,2,0,0,0,1,1,0,0,0,0,2,0
2011/6/2,35,0,0,0,0,0,0,0,0,0,0,0,0
